date,visitors,sales_rp,stock
2021-04-22,67,3047,50
2021-04-23,55,2258,50
2021-04-24,98,3546,50
2021-04-25,81,3807,50
2021-04-26,55,2185,311
2021-04-27,55,2605,210
2021-04-28,68,2841,81
2021-04-29,69,2928,50
2021-04-30,56,2687,50
2021-05-01,83,3305,50
2021-05-02,87,3635,50
2021-05-03,52,2258,341
2021-05-04,59,2321,231
2021-05-05,51,1925,136
2021-05-06,64,2453,50
2021-05-07,65,2680,50
2021-05-08,82,3246,50
2021-05-09,100,3763,50
2021-05-10,60,2447,241
2021-05-11,66,2506,112
2021-05-12,69,3085,50
2021-05-13,50,1922,50
2021-05-14,68,2451,50
2021-05-15,96,3890,50
2021-05-16,85,3323,50
2021-05-17,67,2866,235
2021-05-18,48,2290,152
2021-05-19,59,2527,50
2021-05-20,58,2217,50
2021-05-21,65,2349,50
2021-05-22,90,3386,50
2021-05-23,82,3585,50
2021-05-24,63,2793,261
2021-05-25,60,2713,164
2021-05-26,49,2003,71
2021-05-27,53,2329,50
2021-05-28,65,3016,50
2021-05-29,87,3872,50
2021-05-30,89,3313,50
2021-05-31,67,3205,307
2021-06-01,76,3318,156
2021-06-02,64,2960,50
2021-06-03,74,3461,50
2021-06-04,67,3086,50
2021-06-05,96,4034,50
2021-06-06,100,4663,50
2021-06-07,69,2508,299
2021-06-08,60,2386,186
2021-06-09,67,2666,58
2021-06-10,67,2620,50
2021-06-11,62,2553,50
2021-06-12,97,4456,50
2021-06-13,108,4498,50
2021-06-14,69,3060,280
2021-06-15,61,2314,170
2021-06-16,59,2541,53
2021-06-17,67,3081,50
2021-06-18,59,2370,50
2021-06-19,107,4475,50
2021-06-20,111,5130,50
2021-06-21,77,3643,293
2021-06-22,60,2517,183
2021-06-23,60,2409,74
2021-06-24,72,2597,50
2021-06-25,58,2629,50
2021-06-26,108,4248,50
2021-06-27,110,4991,50
2021-06-28,72,3252,265
2021-06-29,62,2475,149
2021-06-30,65,2796,50
2021-07-01,65,3004,50
2021-07-02,72,2917,50
2021-07-03,112,4742,50
2021-07-04,100,4763,50
2021-07-05,57,2070,257
2021-07-06,61,2341,145
2021-07-07,69,3201,50
2021-07-08,56,2034,50
2021-07-09,60,2453,50
2021-07-10,100,4727,50
2021-07-11,98,4140,50
2021-07-12,60,2833,334
2021-07-13,73,2710,189
2021-07-14,76,3414,58
2021-07-15,65,2738,50
2021-07-16,65,2685,50
2021-07-17,100,4486,50
2021-07-18,108,4926,50
2021-07-19,66,2815,323
2021-07-20,62,2868,217
2021-07-21,77,2789,69
2021-07-22,63,2489,50
2021-07-23,56,2527,50
2021-07-24,101,4054,50
2021-07-25,108,5179,50
2021-07-26,58,2728,267
2021-07-27,67,3020,155
2021-07-28,73,3165,50
2021-07-29,68,2625,50
2021-07-30,71,3294,50
2021-07-31,97,4218,50
2021-08-01,95,3538,50
2021-08-02,67,3068,257
2021-08-03,57,2088,157
2021-08-04,75,2938,50
2021-08-05,73,3127,50
2021-08-06,63,2882,50
2021-08-07,101,4626,50
2021-08-08,94,3469,50
2021-08-09,77,3377,238
2021-08-10,74,2722,112
2021-08-11,57,2190,50
2021-08-12,63,2486,50
2021-08-13,76,3574,50
2021-08-14,110,4232,50
2021-08-15,103,4786,50
2021-08-16,69,2957,309
2021-08-17,157,6023,50
2021-08-18,144,5998,50
2021-08-19,156,5629,50
2021-08-20,149,6231,50
2021-08-21,98,3626,50
2021-08-22,95,4178,50
2021-08-23,57,2331,267
2021-08-24,70,2741,145
2021-08-25,76,3196,50
2021-08-26,76,3208,50
2021-08-27,75,3043,50
2021-08-28,100,4011,50
2021-08-29,102,4829,50
2021-08-30,56,2240,248
2021-08-31,66,2582,137
2021-09-01,60,2515,50
2021-09-02,45,2151,50
2021-09-03,54,2136,50
2021-09-04,73,2691,50
2021-09-05,79,3638,50
2021-09-06,51,1923,333
2021-09-07,47,2249,245
2021-09-08,49,1884,157
2021-09-09,44,1811,86
2021-09-10,51,2021,50
2021-09-11,79,3044,50
2021-09-12,79,3250,50
2021-09-13,48,2044,276
2021-09-14,59,2184,161
2021-09-15,57,2327,64
2021-09-16,44,1665,50
2021-09-17,48,2023,50
2021-09-18,72,2746,50
2021-09-19,89,3641,50
2021-09-20,57,2504,303
2021-09-21,42,1850,225
2021-09-22,56,2571,134
2021-09-23,42,1617,65
2021-09-24,40,1741,50
2021-09-25,87,3692,50
2021-09-26,87,3297,50
2021-09-27,42,1717,287
2021-09-28,61,2811,176
2021-09-29,47,2227,93
2021-09-30,61,2702,50
2021-10-01,68,3220,50
2021-10-02,94,4377,50
2021-10-03,101,4655,50
2021-10-04,64,2368,271
2021-10-05,67,3072,160
2021-10-06,67,2441,50
2021-10-07,63,2968,50
2021-10-08,52,1890,50
2021-10-09,89,3654,50
2021-10-10,90,3808,50
2021-10-11,51,2256,299
2021-10-12,66,2521,191
2021-10-13,51,2276,105
2021-10-14,63,2303,50
2021-10-15,67,3160,50
2021-10-16,98,3892,50
2021-10-17,93,3693,50
2021-10-18,49,2349,326
2021-10-19,59,2636,210
2021-10-20,57,2472,102
2021-10-21,66,2436,50
2021-10-22,53,2230,50
2021-10-23,94,3986,50
2021-10-24,85,3408,50
2021-10-25,57,2085,262
2021-10-26,51,2330,171
2021-10-27,62,2366,50
2021-10-28,55,2089,50
2021-10-29,62,2974,50
2021-10-30,97,3841,50
2021-10-31,91,3739,50
2021-11-01,59,2581,287
2021-11-02,66,3000,168
2021-11-03,63,2774,64
2021-11-04,64,2319,50
2021-11-05,57,2227,50
2021-11-06,86,3391,50
2021-11-07,82,3603,50
2021-11-08,52,1948,301
2021-11-09,54,2027,211
2021-11-10,57,2085,101
2021-11-11,52,1939,50
2021-11-12,62,2858,50
2021-11-13,101,4613,50
2021-11-14,99,3990,50
2021-11-15,50,2330,353
2021-11-16,62,2527,245
2021-11-17,51,2295,149
2021-11-18,49,2173,56
2021-11-19,53,2235,50
2021-11-20,79,3665,50
2021-11-21,83,3908,50
2021-11-22,55,2060,341
2021-11-23,65,2956,237
2021-11-24,52,2345,142
2021-11-25,52,2058,50
2021-11-26,66,3129,50
2021-11-27,93,4058,50
2021-11-28,101,4569,50
2021-11-29,48,1896,340
2021-11-30,67,2817,232
2021-12-01,56,2528,130
2021-12-02,61,2469,50
2021-12-03,60,2445,50
2021-12-04,99,3672,50
2021-12-05,94,4068,50
2021-12-06,60,2287,251
2021-12-07,63,2570,147
2021-12-08,64,2329,50
2021-12-09,59,2555,50
2021-12-10,60,2740,50
2021-12-11,100,4260,50
2021-12-12,85,3147,50
2021-12-13,62,2540,316
2021-12-14,63,2433,194
2021-12-15,59,2618,82
2021-12-16,51,1936,50
2021-12-17,62,2574,50
2021-12-18,82,2962,50
2021-12-19,80,3127,50
2021-12-20,47,1941,343
2021-12-21,48,2210,265
2021-12-22,68,2690,142
2021-12-23,68,2875,50
2021-12-24,135,5521,50
2021-12-25,139,5804,50
2021-12-26,121,5377,50
2021-12-27,122,5314,159
2021-12-28,138,5083,50
2021-12-29,129,6184,50
2021-12-30,130,6131,50
2021-12-31,127,4830,50
2022-01-01,126,5622,50
2022-01-02,120,5246,50
2022-01-03,124,4806,138
2022-01-04,51,1877,50
2022-01-05,54,2233,50
2022-01-06,52,2427,50
2022-01-07,48,1916,50
2022-01-08,86,3100,50
2022-01-09,82,3447,50
2022-01-10,55,2635,261
2022-01-11,52,2147,176
2022-01-12,55,2322,82
2022-01-13,55,2320,50
2022-01-14,54,2247,50
2022-01-15,82,3320,50
2022-01-16,84,3926,50
2022-01-17,51,1998,323
2022-01-18,69,3148,186
2022-01-19,53,2149,92
2022-01-20,67,2835,50
2022-01-21,68,2830,50
2022-01-22,93,3782,50
2022-01-23,101,3940,50
2022-01-24,60,2222,329
2022-01-25,60,2760,232
2022-01-26,67,2483,124
2022-01-27,69,3154,50
2022-01-28,66,2669,50
2022-01-29,100,3619,50
2022-01-30,86,3319,50
2022-01-31,54,2005,293
2022-02-01,61,2443,193
2022-02-02,61,2736,85
2022-02-03,51,2180,50
2022-02-04,45,1920,50
2022-02-05,81,3287,50
2022-02-06,76,2811,50
2022-02-07,41,1863,349
2022-02-08,58,2690,249
2022-02-09,50,2051,152
2022-02-10,54,2584,50
2022-02-11,42,1904,50
2022-02-12,77,3651,50
2022-02-13,85,4029,50
2022-02-14,46,1915,340
2022-02-15,59,2511,238
2022-02-16,55,2003,130
2022-02-17,56,2396,50
2022-02-18,49,1815,50
2022-02-19,81,2972,50
2022-02-20,80,3228,50
2022-02-21,46,2047,289
2022-02-22,47,1787,210
2022-02-23,56,2482,112
2022-02-24,47,2248,50
2022-02-25,45,1657,50
2022-02-26,72,2715,50
2022-02-27,74,3280,50
2022-02-28,56,2468,339
2022-03-01,49,1901,252
2022-03-02,63,2565,127
2022-03-03,54,2257,50
2022-03-04,52,1943,50
2022-03-05,83,3421,50
2022-03-06,89,3398,50
2022-03-07,59,2796,314
2022-03-08,51,1943,225
2022-03-09,48,1735,132
2022-03-10,48,1823,50
2022-03-11,50,1929,50
2022-03-12,98,4655,50
2022-03-13,90,4082,50
2022-03-14,47,1856,342
2022-03-15,62,2447,242
2022-03-16,48,2027,158
2022-03-17,53,2089,67
2022-03-18,49,2103,50
2022-03-19,91,4148,50
2022-03-20,83,3483,50
2022-03-21,61,2303,252
2022-03-22,65,2459,144
2022-03-23,67,2456,50
2022-03-24,59,2283,50
2022-03-25,55,2536,50
2022-03-26,97,4499,50
2022-03-27,94,4394,50
2022-03-28,67,2441,233
2022-03-29,61,2272,117
2022-03-30,62,2747,50
2022-03-31,48,1963,50
2022-04-01,66,2722,50
2022-04-02,85,3856,50
2022-04-03,92,3496,50
2022-04-04,56,2652,339
2022-04-05,59,2532,226
2022-04-06,57,2348,114
2022-04-07,48,1803,50
2022-04-08,55,2178,50
2022-04-09,85,3894,50
2022-04-10,99,4470,50
2022-04-11,56,2063,242
2022-04-12,62,2781,130
2022-04-13,49,2229,50
2022-04-14,52,2375,50
2022-04-15,67,2769,50
2022-04-16,84,3093,50
2022-04-17,93,3709,50
2022-04-18,55,2492,324
2022-04-19,56,2322,212
2022-04-20,58,2105,116
2022-04-21,68,3034,50
2022-04-22,62,2533,50
2022-04-23,89,3743,50
2022-04-24,93,3833,50
2022-04-25,51,2159,291
2022-04-26,49,1874,203
2022-04-27,49,2214,120
2022-04-28,57,2071,50
2022-04-29,48,1976,50
2022-04-30,81,3799,50
2022-05-01,84,3857,50
2022-05-02,51,2333,294
2022-05-03,62,2916,171
2022-05-04,61,2673,67
2022-05-05,49,2347,50
2022-05-06,65,2570,50
2022-05-07,93,4057,50
2022-05-08,98,3683,50
2022-05-09,68,2546,260
2022-05-10,53,1961,168
2022-05-11,63,2687,62
2022-05-12,52,1959,50
2022-05-13,49,2215,50
2022-05-14,91,4357,50
2022-05-15,93,4208,50
2022-05-16,56,2282,298
2022-05-17,48,1781,219
2022-05-18,49,2206,131
2022-05-19,64,2398,50
2022-05-20,66,2562,50
2022-05-21,83,3802,50
2022-05-22,89,3552,50
2022-05-23,62,2749,293
2022-05-24,55,2628,187
2022-05-25,68,2875,62
2022-05-26,59,2255,50
2022-05-27,55,2279,50
2022-05-28,95,4332,50
2022-05-29,92,3707,50
2022-05-30,47,2145,333
2022-05-31,59,2735,238
2022-06-01,73,2730,118
2022-06-02,68,3035,50
2022-06-03,76,3478,50
2022-06-04,114,4247,50
2022-06-05,108,4759,50
2022-06-06,71,3029,253
2022-06-07,68,3222,134
2022-06-08,57,2145,50
2022-06-09,61,2518,50
2022-06-10,61,2700,50
2022-06-11,109,4951,50
2022-06-12,110,4710,50
2022-06-13,61,2797,303
2022-06-14,72,2593,182
2022-06-15,64,2882,75
2022-06-16,70,2789,50
2022-06-17,60,2634,50
2022-06-18,107,4771,50
2022-06-19,111,5028,50
2022-06-20,69,2742,264
2022-06-21,68,2723,133
2022-06-22,60,2412,50
2022-06-23,68,3222,50
2022-06-24,71,3007,50
2022-06-25,111,4936,50
2022-06-26,104,4732,50
2022-06-27,58,2223,317
2022-06-28,66,2814,201
2022-06-29,60,2715,86
2022-06-30,57,2618,50
2022-07-01,58,2778,50
2022-07-02,111,5042,50
2022-07-03,103,4942,50
2022-07-04,76,3103,225
2022-07-05,71,3104,90
2022-07-06,68,2694,50
2022-07-07,67,2822,50
2022-07-08,61,2634,50
2022-07-09,95,4345,50
2022-07-10,99,3923,50
2022-07-11,76,3299,242
2022-07-12,66,2620,133
2022-07-13,63,2309,50
2022-07-14,57,2709,50
2022-07-15,78,3073,50
2022-07-16,109,3981,50
2022-07-17,106,3907,50
2022-07-18,60,2505,249
2022-07-19,60,2260,151
2022-07-20,69,2783,50
2022-07-21,77,3388,50
2022-07-22,75,2722,50
2022-07-23,108,3981,50
2022-07-24,100,4039,50
2022-07-25,73,3201,266
2022-07-26,74,3256,121
2022-07-27,61,2245,50
2022-07-28,72,2963,50
2022-07-29,71,3102,50
2022-07-30,104,4771,50
2022-07-31,106,3996,50
2022-08-01,75,3265,230
2022-08-02,62,2959,112
2022-08-03,64,2730,50
2022-08-04,67,2983,50
2022-08-05,68,2884,50
2022-08-06,105,4235,50
2022-08-07,101,4244,50
2022-08-08,70,2857,266
2022-08-09,57,2512,170
2022-08-10,75,3341,50
2022-08-11,60,2660,50
2022-08-12,71,2848,50
2022-08-13,103,4322,50
2022-08-14,100,3722,50
2022-08-15,70,2733,217
2022-08-16,66,2573,105
2022-08-17,148,5937,50
2022-08-18,159,5973,50
2022-08-19,145,5580,50
2022-08-20,157,6587,50
2022-08-21,95,4250,50
2022-08-22,69,3289,298
2022-08-23,76,3203,160
2022-08-24,74,3169,50
2022-08-25,67,2739,50
2022-08-26,59,2327,50
2022-08-27,105,4715,50
2022-08-28,109,4897,50
2022-08-29,70,3215,219
2022-08-30,67,2997,105
2022-08-31,69,2840,50
2022-09-01,55,2354,50
2022-09-02,51,2229,50
2022-09-03,89,3680,50
2022-09-04,80,3338,50
2022-09-05,44,1749,311
2022-09-06,43,1601,230
2022-09-07,45,1952,141
2022-09-08,52,2107,51
2022-09-09,53,2000,50
2022-09-10,82,3182,50
2022-09-11,88,3995,50
2022-09-12,44,1857,347
2022-09-13,46,2037,258
2022-09-14,56,2383,148
2022-09-15,54,2171,51
2022-09-16,49,2277,50
2022-09-17,76,3053,50
2022-09-18,86,3541,50
2022-09-19,52,2114,296
2022-09-20,44,1677,215
2022-09-21,60,2168,116
2022-09-22,53,2248,50
2022-09-23,40,1492,50
2022-09-24,79,3533,50
2022-09-25,89,3627,50
2022-09-26,51,2108,328
2022-09-27,43,1983,258
2022-09-28,56,2412,165
2022-09-29,45,2102,80
2022-09-30,52,2420,50
2022-10-01,88,3548,50
2022-10-02,82,3244,50
2022-10-03,56,2439,269
2022-10-04,63,2658,149
2022-10-05,63,2867,50
2022-10-06,60,2782,50
2022-10-07,48,1904,50
2022-10-08,84,3481,50
2022-10-09,89,3840,50
2022-10-10,67,2618,245
2022-10-11,53,2401,158
2022-10-12,68,2665,50
2022-10-13,67,3096,50
2022-10-14,68,2886,50
2022-10-15,83,3664,50
2022-10-16,83,3421,50
2022-10-17,65,2406,283
2022-10-18,62,2304,177
2022-10-19,55,2600,71
2022-10-20,51,2131,50
2022-10-21,50,1981,50
2022-10-22,87,3581,50
2022-10-23,90,3599,50
2022-10-24,48,2103,302
2022-10-25,67,2727,184
2022-10-26,61,2789,78
2022-10-27,66,2985,50
2022-10-28,66,2632,50
2022-10-29,83,3463,50
2022-10-30,87,3606,50
2022-10-31,69,2594,221
2022-11-01,63,2527,117
2022-11-02,65,3002,50
2022-11-03,47,1974,50
2022-11-04,54,2104,50
2022-11-05,89,4027,50
2022-11-06,93,3964,50
2022-11-07,60,2762,255
2022-11-08,52,2331,165
2022-11-09,50,2156,70
2022-11-10,66,2652,50
2022-11-11,51,2354,50
2022-11-12,90,4238,50
2022-11-13,85,3315,50
2022-11-14,55,2563,342
2022-11-15,48,1874,254
2022-11-16,63,2651,131
2022-11-17,65,2559,50
2022-11-18,63,2488,50
2022-11-19,87,3824,50
2022-11-20,80,3189,50
2022-11-21,61,2675,253
2022-11-22,53,2501,154
2022-11-23,65,3022,50
2022-11-24,59,2810,50
2022-11-25,66,2785,50
2022-11-26,88,3258,50
2022-11-27,85,3133,50
2022-11-28,66,2733,304
2022-11-29,56,2500,192
2022-11-30,67,2717,83
2022-12-01,50,1986,50
2022-12-02,52,2261,50
2022-12-03,101,4343,50
2022-12-04,91,3340,50
2022-12-05,49,2227,282
2022-12-06,65,2500,155
2022-12-07,56,2436,50
2022-12-08,63,2714,50
2022-12-09,49,1772,50
2022-12-10,95,3462,50
2022-12-11,80,3433,50
2022-12-12,50,2366,339
2022-12-13,62,2888,234
2022-12-14,63,2422,131
2022-12-15,62,2575,50
2022-12-16,58,2564,50
2022-12-17,98,4456,50
2022-12-18,92,3971,50
2022-12-19,50,2265,349
2022-12-20,66,2509,231
2022-12-21,53,2436,126
2022-12-22,49,2316,50
2022-12-23,50,2352,50
2022-12-24,122,5756,50
2022-12-25,120,5228,50
2022-12-26,119,5235,218
2022-12-27,120,5478,50
2022-12-28,135,5809,50
2022-12-29,131,5678,50
2022-12-30,122,4833,50
2022-12-31,137,6159,50
2023-01-01,128,4905,50
2023-01-02,130,4855,146
2023-01-03,129,5736,50
2023-01-04,54,2206,50
2023-01-05,56,2250,50
2023-01-06,63,2720,50
2023-01-07,100,4767,50
2023-01-08,96,3602,50
2023-01-09,66,3006,221
2023-01-10,55,2290,126
2023-01-11,62,2367,50
2023-01-12,52,2263,50
2023-01-13,64,2332,50
2023-01-14,83,3819,50
2023-01-15,101,4666,50
2023-01-16,53,2104,301
2023-01-17,66,2449,174
2023-01-18,54,2366,86
2023-01-19,50,1992,50
2023-01-20,50,2111,50
2023-01-21,98,4686,50
2023-01-22,96,4601,50
2023-01-23,62,2336,285
2023-01-24,48,1834,192
2023-01-25,60,2256,81
2023-01-26,53,2329,50
2023-01-27,50,1911,50
2023-01-28,83,3856,50
2023-01-29,88,3674,50
2023-01-30,48,1735,310
2023-01-31,57,2637,197
2023-02-01,58,2749,96
2023-02-02,59,2269,50
2023-02-03,56,2354,50
2023-02-04,71,2648,50
2023-02-05,76,2975,50
2023-02-06,56,2611,303
2023-02-07,55,2154,196
2023-02-08,41,1651,120
2023-02-09,43,1570,50
2023-02-10,57,2240,50
2023-02-11,86,3315,50
2023-02-12,72,2914,50
2023-02-13,55,2334,321
2023-02-14,53,2068,234
2023-02-15,42,1716,152
2023-02-16,53,2314,51
2023-02-17,58,2117,50
2023-02-18,74,3147,50
2023-02-19,70,3265,50
2023-02-20,57,2321,342
2023-02-21,57,2534,247
2023-02-22,51,2258,155
2023-02-23,57,2290,50
2023-02-24,47,2190,50
2023-02-25,76,3359,50
2023-02-26,86,3789,50
2023-02-27,44,2019,335
2023-02-28,57,2277,240
2023-03-01,58,2687,147
2023-03-02,55,2194,53
2023-03-03,49,1914,50
2023-03-04,94,3750,50
2023-03-05,87,3288,50
2023-03-06,50,2072,368
2023-03-07,49,1844,285
2023-03-08,61,2221,181
2023-03-09,54,2109,92
2023-03-10,52,1968,50
2023-03-11,87,4017,50
2023-03-12,94,3974,50
2023-03-13,69,2648,295
2023-03-14,48,1843,204
2023-03-15,51,2216,113
2023-03-16,57,2457,50
2023-03-17,66,2826,50
2023-03-18,85,4055,50
2023-03-19,100,3853,50
2023-03-20,50,2258,254
2023-03-21,58,2613,145
2023-03-22,57,2192,50
2023-03-23,50,1974,50
2023-03-24,57,2501,50
2023-03-25,89,3413,50
2023-03-26,89,3385,50
2023-03-27,51,1925,268
2023-03-28,48,1899,179
2023-03-29,51,1836,95
2023-03-30,58,2139,50
2023-03-31,59,2465,50
2023-04-01,94,3968,50
2023-04-02,92,4257,50
2023-04-03,66,2793,281
2023-04-04,57,2709,186
2023-04-05,51,1923,95
2023-04-06,58,2317,50
2023-04-07,61,2587,50
2023-04-08,84,3390,50
2023-04-09,80,3831,50
2023-04-10,61,2314,333
2023-04-11,56,2274,226
2023-04-12,68,3218,112
2023-04-13,52,2450,50
2023-04-14,55,2361,50
2023-04-15,87,3643,50
2023-04-16,80,3032,50
2023-04-17,55,1982,336
2023-04-18,52,2361,248
2023-04-19,50,1991,156
2023-04-20,56,2455,56
2023-04-21,62,2614,50
2023-04-22,95,3587,50
2023-04-23,90,3549,50
2023-04-24,68,2972,259
2023-04-25,68,3099,141
2023-04-26,60,2507,50
2023-04-27,56,2512,50
2023-04-28,63,2990,50
2023-04-29,87,3227,50
2023-04-30,80,3208,50
2023-05-01,50,2284,344
2023-05-02,67,3182,227
2023-05-03,67,3186,106
2023-05-04,61,2319,50
2023-05-05,65,2983,50
2023-05-06,80,2982,50
2023-05-07,97,4501,50
2023-05-08,50,1840,299
2023-05-09,66,2663,184
2023-05-10,63,2412,72
2023-05-11,55,2521,50
2023-05-12,53,2296,50
2023-05-13,93,4014,50
2023-05-14,94,3648,50
2023-05-15,68,3055,258
2023-05-16,62,2766,152
2023-05-17,51,2047,59
2023-05-18,50,1991,50
2023-05-19,47,1956,50
2023-05-20,80,3256,50
2023-05-21,90,3245,50
2023-05-22,58,2516,318
2023-05-23,51,2202,227
2023-05-24,49,2325,136
2023-05-25,56,2155,50
2023-05-26,52,2494,50
2023-05-27,88,4128,50
2023-05-28,86,4059,50
2023-05-29,59,2791,260
2023-05-30,64,2572,141
2023-05-31,49,2150,50
2023-06-01,60,2321,50
2023-06-02,57,2064,50
2023-06-03,113,5059,50
2023-06-04,109,4462,50
2023-06-05,73,3463,280
2023-06-06,68,3034,150
2023-06-07,58,2421,50
2023-06-08,67,2579,50
2023-06-09,62,2737,50
2023-06-10,93,3960,50
2023-06-11,98,3574,50
2023-06-12,60,2716,274
2023-06-13,61,2725,167
2023-06-14,75,2916,50
2023-06-15,69,3077,50
2023-06-16,64,2967,50
2023-06-17,109,4123,50
2023-06-18,113,4698,50
2023-06-19,62,2486,295
2023-06-20,65,2424,180
2023-06-21,77,3574,50
2023-06-22,60,2664,50
2023-06-23,75,3037,50
2023-06-24,109,3982,50
2023-06-25,111,4742,50
2023-06-26,69,2680,335
2023-06-27,66,2591,222
2023-06-28,72,3367,98
2023-06-29,67,2463,50
2023-06-30,74,3333,50
2023-07-01,100,4697,50
2023-07-02,107,4216,50
2023-07-03,62,2373,331
2023-07-04,70,3115,199
2023-07-05,76,3117,55
2023-07-06,76,2941,50
2023-07-07,59,2439,50
2023-07-08,95,4078,50
2023-07-09,93,3583,50
2023-07-10,61,2271,265
2023-07-11,74,2694,135
2023-07-12,59,2699,50
2023-07-13,77,3653,50
2023-07-14,58,2691,50
2023-07-15,112,4679,50
2023-07-16,99,4481,50
2023-07-17,68,3036,302
2023-07-18,57,2318,211
2023-07-19,70,2692,93
2023-07-20,72,2781,50
2023-07-21,77,3424,50
2023-07-22,113,4271,50
2023-07-23,102,3874,50
2023-07-24,73,3268,248
2023-07-25,67,2804,128
2023-07-26,63,2707,50
2023-07-27,70,2889,50
2023-07-28,59,2211,50
2023-07-29,106,3884,50
2023-07-30,99,3899,50
2023-07-31,74,3162,274
2023-08-01,67,2841,166
2023-08-02,63,2677,56
2023-08-03,63,2270,50
2023-08-04,62,2974,50
2023-08-05,93,3457,50
2023-08-06,94,3657,50
2023-08-07,70,2685,311
2023-08-08,71,2850,186
2023-08-09,74,3506,50
2023-08-10,75,3181,50
2023-08-11,74,2896,50
2023-08-12,97,3801,50
2023-08-13,106,4206,50
2023-08-14,73,3245,231
2023-08-15,60,2385,131
2023-08-16,60,2341,50
2023-08-17,148,6616,50
2023-08-18,148,6005,50
2023-08-19,156,7297,50
2023-08-20,151,6452,50
2023-08-21,63,2331,335
2023-08-22,60,2364,215
2023-08-23,77,2880,81
2023-08-24,56,2021,50
2023-08-25,74,2794,50
2023-08-26,98,3583,50
2023-08-27,114,5050,50
2023-08-28,70,2761,226
2023-08-29,72,3229,93
2023-08-30,77,2959,50
2023-08-31,69,2804,50
2023-09-01,59,2449,50
2023-09-02,89,3955,50
2023-09-03,79,2981,50
2023-09-04,44,1976,355
2023-09-05,62,2556,252
2023-09-06,50,2209,162
2023-09-07,53,2458,73
2023-09-08,40,1655,50
2023-09-09,79,3619,50
2023-09-10,87,4126,50
2023-09-11,61,2884,334
2023-09-12,49,2076,252
2023-09-13,52,1904,149
2023-09-14,40,1540,71
2023-09-15,49,1819,50
2023-09-16,79,3361,50
2023-09-17,70,3224,50
2023-09-18,45,1818,318
2023-09-19,57,2113,225
2023-09-20,57,2632,118
2023-09-21,56,2387,50
2023-09-22,51,2027,50
2023-09-23,84,3328,50
2023-09-24,76,3311,50
